parameterId	parameterName	parameterScale	lowerBound	upperBound	nominalValue	estimate	parameterType
Epo_degradation_BaF3	EPO_{degradation,BaF3}	log10	1E-05	100000	0.026982514033029	1	
k_exp_hetero	k_{exp,hetero}	log10	1E-05	100000	1.00067973851508E-05	1	
k_exp_homo	k_{exp,homo}	log10	1E-05	100000	0.006170228086381	1	
k_imp_hetero	k_{imp,hetero}	log10	1E-05	100000	0.0163679184468	1	
k_imp_homo	k_{imp,homo}	log10	1E-05	100000	97749.3794024716	1	
k_phos	k_{phos}	log10	1E-05	100000	15766.5070195731	1	
ratio	ratio	lin	-5	5	0.693	0	
offset_pSTAT5A_rel		lin	-100	100	0	0	offset
offset_pSTAT5B_rel		lin	-100	100	0	0	offset
offset_rSTAT5A_rel		lin	-100	100	0	0	offset
sd_pSTAT5A_rel	\sigma_{pSTAT5A,rel}	log10	1E-05	100000	3.85261197844677	1	sigma
sd_pSTAT5B_rel	\sigma_{pSTAT5B,rel}	log10	1E-05	100000	6.59147818673419	1	sigma
sd_rSTAT5A_rel	\sigma_{rSTAT5A,rel}	log10	1E-05	100000	3.15271275648527	1	sigma
scaling_pSTAT5A_rel		log10	1E-05	100000	1	1	scaling
scaling_pSTAT5B_rel		log10	1E-05	100000	1	1	scaling
scaling_rSTAT5A_rel		log10	1E-05	100000	1	1	scaling
specC17	specC17	lin	-5	5	0.107	0	
