observableId	preequilibrationConditionId	simulationConditionId	measurement	time	observableParameters	noiseParameters	datasetId
pSTAT5A_rel		model1_data1	7.901072999	0.0		sd_pSTAT5A_rel	model1_data1_pSTAT5A_rel
pSTAT5A_rel		model1_data1	66.36349397	2.5		sd_pSTAT5A_rel	model1_data1_pSTAT5A_rel
pSTAT5A_rel		model1_data1	81.17132392	5.0		sd_pSTAT5A_rel	model1_data1_pSTAT5A_rel
pSTAT5A_rel		model1_data1	94.73030806	10.0		sd_pSTAT5A_rel	model1_data1_pSTAT5A_rel
pSTAT5A_rel		model1_data1	95.11648305	15.0		sd_pSTAT5A_rel	model1_data1_pSTAT5A_rel
pSTAT5A_rel		model1_data1	91.44171655	20.0		sd_pSTAT5A_rel	model1_data1_pSTAT5A_rel
pSTAT5A_rel		model1_data1	91.25709923	30.0		sd_pSTAT5A_rel	model1_data1_pSTAT5A_rel
pSTAT5A_rel		model1_data1	93.67229784	40.0		sd_pSTAT5A_rel	model1_data1_pSTAT5A_rel
pSTAT5A_rel		model1_data1	88.75423282	50.0		sd_pSTAT5A_rel	model1_data1_pSTAT5A_rel
pSTAT5A_rel		model1_data1	85.26970322	60.0		sd_pSTAT5A_rel	model1_data1_pSTAT5A_rel
pSTAT5A_rel		model1_data1	81.13239534	80.0		sd_pSTAT5A_rel	model1_data1_pSTAT5A_rel
pSTAT5A_rel		model1_data1	76.13592848	100.0		sd_pSTAT5A_rel	model1_data1_pSTAT5A_rel
pSTAT5A_rel		model1_data1	65.24805913	120.0		sd_pSTAT5A_rel	model1_data1_pSTAT5A_rel
pSTAT5A_rel		model1_data1	42.59965871	160.0		sd_pSTAT5A_rel	model1_data1_pSTAT5A_rel
pSTAT5A_rel		model1_data1	25.15779754	200.0		sd_pSTAT5A_rel	model1_data1_pSTAT5A_rel
pSTAT5A_rel		model1_data1	15.4301824	240.0		sd_pSTAT5A_rel	model1_data1_pSTAT5A_rel
pSTAT5B_rel		model1_data1	4.596533343	0.0		sd_pSTAT5B_rel	model1_data1_pSTAT5B_rel
pSTAT5B_rel		model1_data1	29.63454599	2.5		sd_pSTAT5B_rel	model1_data1_pSTAT5B_rel
pSTAT5B_rel		model1_data1	46.04380647	5.0		sd_pSTAT5B_rel	model1_data1_pSTAT5B_rel
pSTAT5B_rel		model1_data1	81.97473362	10.0		sd_pSTAT5B_rel	model1_data1_pSTAT5B_rel
pSTAT5B_rel		model1_data1	80.5716093	15.0		sd_pSTAT5B_rel	model1_data1_pSTAT5B_rel
pSTAT5B_rel		model1_data1	79.03571964	20.0		sd_pSTAT5B_rel	model1_data1_pSTAT5B_rel
pSTAT5B_rel		model1_data1	75.67238037	30.0		sd_pSTAT5B_rel	model1_data1_pSTAT5B_rel
pSTAT5B_rel		model1_data1	71.62471986	40.0		sd_pSTAT5B_rel	model1_data1_pSTAT5B_rel
pSTAT5B_rel		model1_data1	69.06286328	50.0		sd_pSTAT5B_rel	model1_data1_pSTAT5B_rel
pSTAT5B_rel		model1_data1	67.14738432	60.0		sd_pSTAT5B_rel	model1_data1_pSTAT5B_rel
pSTAT5B_rel		model1_data1	60.89947629	80.0		sd_pSTAT5B_rel	model1_data1_pSTAT5B_rel
pSTAT5B_rel		model1_data1	54.80925777	100.0		sd_pSTAT5B_rel	model1_data1_pSTAT5B_rel
pSTAT5B_rel		model1_data1	43.98128998	120.0		sd_pSTAT5B_rel	model1_data1_pSTAT5B_rel
pSTAT5B_rel		model1_data1	29.77145816	160.0		sd_pSTAT5B_rel	model1_data1_pSTAT5B_rel
pSTAT5B_rel		model1_data1	20.08901656	200.0		sd_pSTAT5B_rel	model1_data1_pSTAT5B_rel
pSTAT5B_rel		model1_data1	10.96184517	240.0		sd_pSTAT5B_rel	model1_data1_pSTAT5B_rel
rSTAT5A_rel		model1_data1	14.72316822	0.0		sd_rSTAT5A_rel	model1_data1_rSTAT5A_rel
rSTAT5A_rel		model1_data1	33.76234229	2.5		sd_rSTAT5A_rel	model1_data1_rSTAT5A_rel
rSTAT5A_rel		model1_data1	36.79985129	5.0		sd_rSTAT5A_rel	model1_data1_rSTAT5A_rel
rSTAT5A_rel		model1_data1	49.71760229	10.0		sd_rSTAT5A_rel	model1_data1_rSTAT5A_rel
rSTAT5A_rel		model1_data1	46.9281201	15.0		sd_rSTAT5A_rel	model1_data1_rSTAT5A_rel
rSTAT5A_rel		model1_data1	47.83657456	20.0		sd_rSTAT5A_rel	model1_data1_rSTAT5A_rel
rSTAT5A_rel		model1_data1	46.92872725	30.0		sd_rSTAT5A_rel	model1_data1_rSTAT5A_rel
rSTAT5A_rel		model1_data1	40.59775294	40.0		sd_rSTAT5A_rel	model1_data1_rSTAT5A_rel
