observableId	preequilibrationConditionId	simulationConditionId	simulation	time	observableParameters	noiseParameters	observableTransformation	datasetId
pSTAT5A_rel		model1_data1	0	0		3.8526119788	lin	model1_data1_pSTAT5A_rel
pSTAT5A_rel		model1_data1	75.1549671358	2.5		3.8526119788	lin	model1_data1_pSTAT5A_rel
pSTAT5A_rel		model1_data1	85.2163816535	5		3.8526119788	lin	model1_data1_pSTAT5A_rel
pSTAT5A_rel		model1_data1	90.6694732203	10		3.8526119788	lin	model1_data1_pSTAT5A_rel
pSTAT5A_rel		model1_data1	92.1422837775	15		3.8526119788	lin	model1_data1_pSTAT5A_rel
pSTAT5A_rel		model1_data1	92.5018522474	20		3.8526119788	lin	model1_data1_pSTAT5A_rel
pSTAT5A_rel		model1_data1	91.9628925517	30		3.8526119788	lin	model1_data1_pSTAT5A_rel
pSTAT5A_rel		model1_data1	90.625262994	40		3.8526119788	lin	model1_data1_pSTAT5A_rel
pSTAT5A_rel		model1_data1	88.7858308028	50		3.8526119788	lin	model1_data1_pSTAT5A_rel
pSTAT5A_rel		model1_data1	86.5228969273	60		3.8526119788	lin	model1_data1_pSTAT5A_rel
pSTAT5A_rel		model1_data1	80.8019280011	80		3.8526119788	lin	model1_data1_pSTAT5A_rel
pSTAT5A_rel		model1_data1	73.5772935097	100		3.8526119788	lin	model1_data1_pSTAT5A_rel
pSTAT5A_rel		model1_data1	65.1055254027	120		3.8526119788	lin	model1_data1_pSTAT5A_rel
pSTAT5A_rel		model1_data1	46.4623038404	160		3.8526119788	lin	model1_data1_pSTAT5A_rel
pSTAT5A_rel		model1_data1	29.5144935856	200		3.8526119788	lin	model1_data1_pSTAT5A_rel
pSTAT5A_rel		model1_data1	17.1453510648	240		3.8526119788	lin	model1_data1_pSTAT5A_rel
pSTAT5B_rel		model1_data1	0	0		6.5914781874	lin	model1_data1_pSTAT5B_rel
pSTAT5B_rel		model1_data1	40.1654621871	2.5		6.5914781874	lin	model1_data1_pSTAT5B_rel
pSTAT5B_rel		model1_data1	54.5032976736	5		6.5914781874	lin	model1_data1_pSTAT5B_rel
pSTAT5B_rel		model1_data1	66.2879117046	10		6.5914781874	lin	model1_data1_pSTAT5B_rel
pSTAT5B_rel		model1_data1	70.9429990469	15		6.5914781874	lin	model1_data1_pSTAT5B_rel
pSTAT5B_rel		model1_data1	72.9589968453	20		6.5914781874	lin	model1_data1_pSTAT5B_rel
pSTAT5B_rel		model1_data1	73.5974399901	30		6.5914781874	lin	model1_data1_pSTAT5B_rel
pSTAT5B_rel		model1_data1	72.082995757	40		6.5914781874	lin	model1_data1_pSTAT5B_rel
pSTAT5B_rel		model1_data1	69.4358397665	50		6.5914781874	lin	model1_data1_pSTAT5B_rel
pSTAT5B_rel		model1_data1	66.0720835416	60		6.5914781874	lin	model1_data1_pSTAT5B_rel
pSTAT5B_rel		model1_data1	58.0459969685	80		6.5914781874	lin	model1_data1_pSTAT5B_rel
pSTAT5B_rel		model1_data1	49.2225279021	100		6.5914781874	lin	model1_data1_pSTAT5B_rel
pSTAT5B_rel		model1_data1	40.4540966361	120		6.5914781874	lin	model1_data1_pSTAT5B_rel
pSTAT5B_rel		model1_data1	25.2906981147	160		6.5914781874	lin	model1_data1_pSTAT5B_rel
pSTAT5B_rel		model1_data1	14.6584042019	200		6.5914781874	lin	model1_data1_pSTAT5B_rel
pSTAT5B_rel		model1_data1	8.0932190893	240		6.5914781874	lin	model1_data1_pSTAT5B_rel
rSTAT5A_rel		model1_data1	21.2892834379	0		3.1527127566	lin	model1_data1_rSTAT5A_rel
rSTAT5A_rel		model1_data1	34.8294204521	2.5		3.1527127566	lin	model1_data1_rSTAT5A_rel
rSTAT5A_rel		model1_data1	39.0090255401	5		3.1527127566	lin	model1_data1_rSTAT5A_rel
rSTAT5A_rel		model1_data1	42.2330600419	10		3.1527127566	lin	model1_data1_rSTAT5A_rel
rSTAT5A_rel		model1_data1	43.5005507095	15		3.1527127566	lin	model1_data1_rSTAT5A_rel
rSTAT5A_rel		model1_data1	44.09441589	20		3.1527127566	lin	model1_data1_rSTAT5A_rel
rSTAT5A_rel		model1_data1	44.4535462193	30		3.1527127566	lin	model1_data1_rSTAT5A_rel
rSTAT5A_rel		model1_data1	44.3019891288	40		3.1527127566	lin	model1_data1_rSTAT5A_rel
rSTAT5A_rel		model1_data1	43.885163825	50		3.1527127566	lin	model1_data1_rSTAT5A_rel
rSTAT5A_rel		model1_data1	43.2989886397	60		3.1527127566	lin	model1_data1_rSTAT5A_rel
rSTAT5A_rel		model1_data1	41.8054478544	80		3.1527127566	lin	model1_data1_rSTAT5A_rel
rSTAT5A_rel		model1_data1	40.0835500781	100		3.1527127566	lin	model1_data1_rSTAT5A_rel
rSTAT5A_rel		model1_data1	38.3234573256	120		3.1527127566	lin	model1_data1_rSTAT5A_rel
rSTAT5A_rel		model1_data1	35.2468851779	160		3.1527127566	lin	model1_data1_rSTAT5A_rel
rSTAT5A_rel		model1_data1	33.1841581699	200		3.1527127566	lin	model1_data1_rSTAT5A_rel
rSTAT5A_rel		model1_data1	32.0668685917	240		3.1527127566	lin	model1_data1_rSTAT5A_rel
